name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,ba,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,pv_pct,wind_pct,nm_pct,ee_pct,dem_res_pct,dem_res_cust_pct
"San Bernard Electric Coop, Inc",TX,700011.0,28911.0,16638.0,Cooperative,100.7,1.202,83.777038,58.0,0.0,TRE,0.0,746640.0,ERCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sangre De Cristo Elec Assn Inc,CO,120790.0,12754.0,16649.0,Cooperative,198.4,1.606,123.53674,23.0,0.0,WECC,547.0,130966.0,WACM,415.55,0.0,473.287,0.0,0.0,0.0,0.34402682341253416,0.0,0.3918263101250103,0.0,0.0,0.0
City of Sauk Centre - (MN),MN,60936.0,2366.0,16679.0,Municipal,7.72,0.23,33.565217,4.0,0.0,MRO,0.0,63564.0,MISO,0.0,12.9,12.9,735.3,0.0,0.0,0.0,0.02116975187081528,0.02116975187081528,1.2066758566364708,0.0,0.0
Three Rivers Electric Coop,MO,403052.0,22931.0,16751.0,Cooperative,162.783,0.94,173.1734,67.0,0.0,SERC,0.0,427783.0,AECI,14.72,0.0,15.506,0.0,0.0,0.0,0.0036521342159324356,0.0,0.003847146273929915,0.0,0.0,0.0
City of Scottsboro,AL,324806.0,8347.0,16829.0,Municipal,167.726,3.51,47.785185,16.0,16.0,SERC,0.0,340094.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Heartland Rural Elec Coop, Inc",KS,185785.0,11212.0,16854.0,Cooperative,168.29,1.47,114.48299,46.0,0.0,SPP,207.0,198193.0,SWPP,0.0,0.0,0.0,0.0,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,18.90831252229754
Sawnee Electric Membership Corporation,GA,3656585.0,183053.0,16865.0,Cooperative,43.8,0.69,63.478261,216.0,160.0,SERC,0.0,3787249.0,SOCO,0.0,0.0,0.0,649.767,56428.0,125.82,0.0,0.0,0.0,0.0177697769913731,0.003440915499024363,30.826044915953304
City of Seattle - (WA),WA,9082792.0,470380.0,16868.0,Municipal,75.2,0.49,153.46939,236.0,0.0,WECC,5334991.0,6793339.0,SCL,0.0,0.0,0.0,111735.064,0.0,0.0,0.0,0.0,0.0,1.2301841107888412,0.0,0.0
Sedgwick County El Coop Assn Inc,KS,142338.0,6953.0,16920.0,Cooperative,206.526,1.462,141.26265,21.0,0.0,SPP,62.0,149196.0,SWPP,0.0,0.0,0.0,104.0,50.0,10.0,0.0,0.0,0.0,0.07306552010004355,0.007025530778850342,0.7191140514885661
Sequachee Valley Electric Coop,TN,819809.0,35803.0,16930.0,Cooperative,232.058,3.57,65.002241,45.0,11.0,SERC,0.0,856702.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sevier County Electric System,TN,1493228.0,55865.0,16949.0,Municipal,326.593,2.919,111.88523,80.0,0.0,SERC,0.0,1546368.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shakopee Public Utilities Comm,MN,445150.0,17798.0,16971.0,Municipal,8.683,0.149,58.275168,33.0,0.0,MRO,0.0,459121.0,MISO,0.0,0.0,0.0,6165.275,1929.0,0.0,0.0,0.0,0.0,1.3849882062226215,0.0,10.838296437802
City of Shelby - (NC),NC,190671.0,8340.0,17037.0,Municipal,70.859,1.34,52.879851,15.0,0.0,SERC,0.0,200024.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Shelby Energy Co-op, Inc",KY,497905.0,16709.0,17044.0,Cooperative,120.76,1.09,110.78899,47.0,0.0,SERC,0.0,516055.0,PJM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of Shelbyville - (TN),TN,367193.0,10455.0,17047.0,Municipal,11.776,0.278,42.359712,12.0,0.0,SERC,0.0,375297.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shenandoah Valley Elec Coop,VA,2429562.0,95555.0,17066.0,Cooperative,159.6,1.4,114,135.0,1.0,SERC,0.0,2540408.0,PJM,0.0,0.0,0.0,259.0,15162.0,464.07,0.0,0.0,0.0,0.01066035771056676,0.019100973755763386,15.867301554078802
Sierra Pacific Power Co,NV,9195752.0,352366.0,17166.0,Investor Owned,189.44,1.72,110.13953,348.0,0.0,WECC,6132970.0,4466026.0,NEVP,0.0,0.0,0.0,90.831,10457.0,3280.0,0.0,0.0,0.0,0.0009877495608841996,0.03566864352148688,2.9676529517603853
City of Siloam Springs - (AR),AR,265570.0,8020.0,17184.0,Municipal,7.59,0.1,75.9,18.0,0.0,SPP,0.0,279106.0,SWPP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singing River Elec Cooperative,MS,1394254.0,74443.0,17252.0,Cooperative,166.39,.,.,167.0,94.0,SERC,0.0,1474784.0,0,0.0,0.0,0.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.07287050996446845,0.0,0.0
