year,name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,pv_pct,wind_pct,nm_pct,ee_pct,dem_res_cust_pct
2019.0,Lyon Rural Electric Coop,IA,113253.0,2253.0,11298.0,Cooperative,50.76,0.66,76.909091,27.0,0.0,MRO,0.0,125289.0,0.0,0.0,0.0,148.0,1015.0,0.0,0.0,0.0,0.0,0.13068086496604947,45.05104305370617
2019.0,Magic Valley Electric Coop Inc,TX,2393607.0,121528.0,11501.0,Cooperative,140.408,.,.,124.0,4.0,TRE,0.0,2503501.0,0.0,0.0,0.0,65.0,789.0,3.835,0.0,0.0,0.0,0.0027155669247290806,0.6492330985451912
2019.0,Menard Electric Coop,IL,208596.0,10929.0,12395.0,Cooperative,203.313,2.087,97.418783,55.0,34.0,RFC,0.0,225659.0,107.682,4.566,112.248,263.21,2234.0,259.36,0.05162227463613876,0.0021889202093999882,0.05381119484553874,0.12618171009990603,20.441028456400403
2019.0,"ALLETE, Inc.",MN,9014805.0,147340.0,12647.0,Investor Owned,144.02,1.35,106.68148,369.0,0.0,MRO,6477004.0,7581781.0,572.602,5.327,577.929,61243.0,7897.0,746.0,0.006351795740451402,5.9091683070238346e-05,0.006410887423521639,0.6793602301991003,5.359712230215828
2019.0,Mississippi Power Co,MS,9608278.0,188342.0,12686.0,Investor Owned,76.42,0.95,80.442105,276.0,0.0,SERC,18268656.0,186028.0,0.0,0.0,0.0,21536.16,15.0,0.0,0.0,0.0,0.0,0.22414172445884684,0.007964235274128978
2019.0,Evergy Missouri West,MO,8133619.0,328464.0,12698.0,Investor Owned,125.16,1.189,105.26493,530.0,0.0,SPP,2296789.0,6981655.0,19392.761,20.084,19412.845,95379.788,30962.0,1131.476,0.23842721179833967,0.000246925753468413,0.23867413755180814,1.172661124156418,9.42629938136295
2019.0,Modesto Irrigation District,CA,2486395.0,129642.0,12745.0,Political Subdivision,32.75,0.452,72.455752,189.0,0.0,WECC,688288.0,3046345.0,0.0,0.0,0.0,7464.0,11186.0,0.0,0.0,0.0,0.0,0.30019365386432967,8.628376606346709
2019.0,Nebraska Public Power District,NE,3167286.0,90352.0,13337.0,Political Subdivision,46.5,0.49,94.897959,105.0,11.0,MRO,16981613.0,4445509.0,210.821,0.0,210.821,4963.852,365.0,0.0,0.006656203449893694,0.0,0.006656203449893694,0.15672256941747603,0.40397556224544007
2019.0,Nevada Power Co,NV,19505109.0,951035.0,13407.0,Investor Owned,37.68,0.43,87.627907,1017.0,44.0,WECC,16190538.0,6193949.0,0.0,0.0,0.0,205452.0,69313.0,28368.0,0.0,0.0,0.0,1.0533240291043748,7.288164999185098
2019.0,"Entergy New Orleans, LLC",LA,5823938.0,204479.0,13478.0,Investor Owned,158.4,1.345,117.76952,247.0,0.0,SERC,2977988.0,4973133.0,0.0,0.0,0.0,46556.0,1146.0,0.0,0.0,0.0,0.0,0.7993903781255912,0.5604487502384108
2019.0,Niagara Mohawk Power Corp.,NY,14118253.0,1396453.0,13573.0,Investor Owned,135.57,1.053,128.74644,2090.0,11.0,NPCC,0.0,14584609.0,0.0,0.0,0.0,377931.0,6060.0,1285.5,0.0,0.0,0.0,2.6768963553776803,0.43395660290750926
2019.0,Norris Public Power District,NE,943196.0,24538.0,13664.0,Political Subdivision,158.7,1.602,99.06367,224.0,0.0,MRO,0.0,1061049.0,420.68,43.742,464.422,2724.0,1549.0,0.0,0.04460154623217232,0.004637636291926598,0.049239182524098916,0.28880529603603067,6.3126579183307525
