name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,ba,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,pv_pct,nm_pct,ee_pct,dem_res_pct,dem_res_cust_pct
Northern States Power Co - Minnesota,MN,29166665.0,1300836.0,13781.0,Investor Owned,80.66,0.742,108.7062,1044.0,0.0,MRO,36820209.0,14814736.0,MISO,0.0,0.0,0.0,490710.51,415532.0,649.804,0.0,0.0,1.682436130424922,0.0022278995558799746,31.943457899381627
"Northfork Electric Coop, Inc",OK,149981.0,6554.0,13838.0,Cooperative,131.2,.,.,20.0,12.0,SPP,0.0,158862.0,SWPP,0.0,0.0,0.0,0.002,217.0,1.323,0.0,0.0,1.333502243617525e-06,0.0008821117341529926,3.3109551418980776
Oakdale Electric Coop,WI,347036.0,17036.0,13936.0,Cooperative,107.22,0.987,108.63222,69.0,0.0,MRO,0.0,359209.0,MISO,0.0,0.0,0.0,440.0,5680.0,0.0,0.0,0.0,0.12678799893959128,0.0,33.34115989668936
Ohio Edison Co,OH,3970997.0,327657.0,13998.0,Investor Owned,108.819,1.036,105.03764,1126.0,1126.0,RFC,0.0,4220694.0,PJM,0.0,0.0,0.0,283011.097,16.0,0.0,0.0,0.0,7.126953180775509,0.0,0.004883155250765282
Ohio Power Co,OH,11573523.0,920735.0,14006.0,Investor Owned,202.4,1.388,145.82133,1669.0,87.0,RFC,0.0,15139865.0,PJM,18695.57,11648.213,30797.703,560772.0,25.0,0.0,0.16153741604868285,0.2661048239157601,4.845300778336899,0.0,0.0027152220780137606
Omaha Public Power District,NE,10919803.0,384501.0,14127.0,Political Subdivision,76.3,0.58,131.55172,483.0,29.0,MRO,9022252.0,6690680.0,SWPP,4.023,0.026,4.049,15741.0,48804.0,0.0,3.684132396893973e-05,3.707942350242033e-05,0.14415095217377089,0.0,12.692814843134348
Otter Tail Power Co,MN,2659813.0,61748.0,14232.0,Investor Owned,101.73,1.13,90.026549,282.0,0.0,MRO,3010446.0,2587505.0,MISO,215.722,9.424,229.146,69248.477,20980.0,0.0,0.008110419792669635,0.008615116927393016,2.6035092316640305,0.0,33.976808965472564
City of Owatonna - (MN),MN,385987.0,11869.0,14246.0,Municipal,18.771,0.217,86.502304,23.0,0.0,MRO,0.0,410966.0,MISO,0.0,0.0,0.0,6189.046,7096.0,110.451,0.0,0.0,1.6034337944024022,0.02861521242943415,59.78599713539473
Pacific Gas & Electric Co.,CA,36462157.0,2635291.0,14328.0,Investor Owned,134.1,0.995,134.77387,3109.0,0.0,WECC,33491087.0,42164686.0,CISO,0.0,0.0,0.0,1322045.0,268381.0,3963.0,0.0,0.0,3.6258003057800448,0.010868802961931188,10.18411249459737
People's Cooperative Services,MN,357063.0,22859.0,14468.0,Cooperative,87.88,1.233,71.273317,78.0,0.0,MRO,0.0,373985.0,MISO,1497.691,68.081,1565.772,4529.0,2189.0,0.0,0.41944726840921637,0.4385142117777535,1.2684036150483249,0.0,9.576096942123453
"Pee Dee Electric Coop, Inc",SC,706695.0,30490.0,14557.0,Cooperative,98.4,0.708,138.98305,116.0,102.0,SERC,0.0,742145.0,SC,13.523,0.004,13.527,0.0,4.0,0.0,0.001913555352733499,0.0019141213677753486,0.0,0.0,0.013119055428009185
PPL Electric Utilities Corp,PA,10569683.0,855014.0,14715.0,Investor Owned,74.3,0.66,112.57576,1276.0,47.0,RFC,0.0,11268268.0,PJM,0.0,0.0,0.0,429639.506,64.0,0.0,0.0,0.0,4.064828680292494,0.0,0.00748525755133834
Pee Dee Electric Member Corp,NC,389641.0,21110.0,14717.0,Cooperative,136.81,1.573,86.973935,36.0,9.0,SERC,0.0,416803.0,CPLE,160.54,0.0,160.54,22.0,102.0,0.0,0.04120202956054419,0.04120202956054419,0.005646223061741449,0.0,0.483183325438181
PECO Energy Co,PA,12296539.0,1142446.0,14940.0,Investor Owned,94,0.87,108.04598,2165.0,0.0,RFC,0.0,14635162.0,PJM,0.0,0.0,0.0,236212.0,60690.0,162606.0,0.0,0.0,1.9209632889384567,1.3223720918544641,5.312286094922649
Piedmont Electric Member Corp,NC,488011.0,32534.0,15023.0,Cooperative,106.087,0.826,128.43462,68.0,0.0,SERC,0.0,514015.0,DUK,1437.19,0.0,1437.19,3218.0,6486.0,0.0,0.2944995092323739,0.2944995092323739,0.6594113657274119,0.0,19.93606688387533
Pierce-Pepin Coop Services,WI,120799.0,7633.0,15034.0,Cooperative,100.009,0.976,102.46824,34.0,0.0,MRO,0.0,127796.0,MISO,0.0,0.0,0.0,453.0,6528.0,0.0,0.0,0.0,0.3750031043303339,0.0,85.52338530066815
Polk-Burnett Electric Coop,WI,236611.0,20800.0,15344.0,Cooperative,34.8,0.389,89.460154,54.0,0.0,MRO,0.0,250528.0,MISO,132.688,58.0,191.456,854.0,7113.0,0.0,0.0560785424177236,0.08091593374779701,0.3609299652171708,0.0,34.19711538461539
Public Service Co of Colorado,CO,29156848.0,1499395.0,15466.0,Investor Owned,92.694,0.875,105.936,793.0,30.0,WECC,23942892.0,22572657.0,PSCO,0.0,0.0,0.0,595454.0,198748.0,112.731,0.0,0.0,2.042244072473129,0.00038663644300645936,13.255212935884138
"Duke Energy Indiana, LLC",IN,27836983.0,840116.0,15470.0,Investor Owned,140,1.06,132.07547,1253.0,0.0,RFC,21144343.0,11947586.0,MISO,0.0,0.0,0.0,202050.14,104.0,0.0,0.0,0.0,0.7258334712493808,0.0,0.012379242866461299
Public Service Co of NH,NH,3338801.0,400893.0,15472.0,Investor Owned,229.61,1.197,191.82122,377.0,0.0,NPCC,0.0,4431573.0,ISNE,0.0,0.0,0.0,96651.536,40.0,5.0,0.0,0.0,2.8947977432617273,0.00014975435792669286,0.0099777247295413
Public Service Co of NM,NM,9013639.0,530259.0,15473.0,Investor Owned,103.39,0.887,116.56144,492.0,376.0,WECC,9577698.0,3165610.0,PNM,0.0,0.0,0.0,77935.0,44412.0,304.0,0.0,0.0,0.864634139441351,0.0033726666887813014,8.375529693979734
Public Service Co of Oklahoma,OK,18555555.0,557421.0,15474.0,Investor Owned,125.1,1.322,94.629349,769.0,75.0,SPP,6937724.0,14195742.0,SWPP,264.257,0.095,264.352,133353.0,16570.0,47.0,0.001424139563596993,0.0014246515396602257,0.7186688837924815,0.00025329342075728804,2.9726185414614807
Public Service Elec & Gas Co,NJ,21560363.0,2034027.0,15477.0,Investor Owned,48.11,0.67,71.80597,2943.0,0.0,RFC,159192.0,22675318.0,PJM,0.0,0.0,0.0,32934.726,0.0,0.0,0.0,0.0,0.15275589747723636,0.0,0.0
Town of Reading - (MA),MA,647221.0,29775.0,15748.0,Municipal,16.399,0.255,64.309804,27.0,24.0,NPCC,299.0,671071.0,ISNE,929.652,0.0,929.652,1963.349,19.0,0.0,0.14363749013088267,0.14363749013088267,0.3033506329368176,0.0,0.06381192275398825
Roanoke Electric Member Corp,NC,272893.0,14187.0,16101.0,Cooperative,264.2,1.533,172.34181,42.0,0.0,SERC,0.0,308415.0,PJM,3.147,0.0,3.147,668.0,629.0,0.1,0.0011531992392622749,0.0011531992392622749,0.2447845858999681,3.664439908682158e-05,4.4336364277155145
Rochester Public Utilities,MN,1174458.0,55919.0,16181.0,Municipal,39.171,0.613,63.900489,80.0,44.0,MRO,74651.0,1204808.0,MISO,852.753,0.093,852.846,20876.0,7887.0,271.0,0.0726082158748972,0.07261613442115426,1.7775007705682109,0.023074473501819563,14.104329476564317
