year,name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,pv_mwh,wind_mwh,nm_mwh,pv_pct,wind_pct,nm_pct,circuit_pct
2019.0,Deep East Texas Elec Coop Inc,TX,796745.0,42918.0,4975.0,Cooperative,558.58,.,.,107.0,0.0,TRE,0.0,928278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Delaware County Elec Coop Inc,NY,76876.0,5372.0,5021.0,Cooperative,812.9,.,.,11.0,0.0,NPCC,0.0,81693.0,54.8,0.022,54.822,0.07128362557885426,2.8617513918518127e-05,0.07131224309277279,0.0
2019.0,Delmarva Power,DE,3767582.0,284487.0,5027.0,Investor Owned,72,0.74,97.297297,271.0,0.0,RFC,0.0,6796699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,City of Denton - (TX),TX,1533871.0,56091.0,5063.0,Municipal,38.41,0.51,75.313725,119.0,0.0,TRE,235720.0,1391813.0,1706.0,0.0,1706.0,0.11122186937493439,0.0,0.11122186937493439,0.0
2019.0,Delaware Electric Cooperative,DE,1466907.0,101814.0,5070.0,Cooperative,83.08,1.283,64.754482,89.0,45.0,RFC,6572.0,1542213.0,0.0,0.0,0.0,0.0,0.0,0.0,50.56179775280899
2019.0,"Denton County Elec Coop, Inc",TX,5467725.0,249175.0,5078.0,Cooperative,36.98,0.633,58.420221,164.0,164.0,TRE,0.0,5664656.0,3725.46,18.302,3743.762,0.06813546767622732,0.00033472788042558833,0.0684701955566529,100.0
2019.0,DTE Electric Company,MI,42072638.0,2209021.0,5109.0,Investor Owned,202.375,1.136,178.14701,3500.0,0.0,RFC,38752398.0,8164409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,City of Detroit Lakes - (MN),MN,189741.0,7631.0,5111.0,Municipal,6.3,0.084,75,19.0,0.0,MRO,0.0,197569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Dixie Electric Membership Corp,LA,2122680.0,111569.0,5202.0,Cooperative,206.72,3.12,66.25641,138.0,130.0,SERC,0.0,2238907.0,0.0,0.0,0.0,0.0,0.0,0.0,94.20289855072464
2019.0,"Duke Energy Carolinas, LLC",NC,58505595.0,2047365.0,5416.0,Investor Owned,174,1.06,164.15094,1907.0,0.0,SERC,84416930.0,10690043.0,1799.163,0.0,1799.163,0.0030751981925831195,0.0,0.0030751981925831195,0.0
2019.0,Dunn County Electric Coop,WI,214804.0,10057.0,5417.0,Cooperative,55.78,0.583,95.67753,40.0,0.0,MRO,0.0,224218.0,18.275,0.0,18.275,0.008507755907711214,0.0,0.008507755907711214,0.0
2019.0,"Duncan Valley Elec Coop, Inc",AZ,22703.0,2128.0,5438.0,Cooperative,66,0.46,143.47826,6.0,6.0,WECC,0.0,29442.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2019.0,East Central Energy,MN,890826.0,55719.0,5574.0,Cooperative,68.3,0.978,69.836401,110.0,12.0,MRO,0.0,991920.0,655.571,8.686,664.257,0.07359136352104675,0.0009750501220215844,0.07456641364306835,10.909090909090908
2019.0,Eastern Illinois Elec Coop,IL,247708.0,13466.0,5585.0,Cooperative,132.3,1.35,98,76.0,76.0,RFC,0.0,267552.0,329.052,0.08,329.132,0.13283866487961632,3.229609055823793e-05,0.13287096097017456,100.0
2019.0,East-Central Iowa Rural Elec Coop,IA,219150.0,8971.0,5588.0,Cooperative,61.5,0.83,74.096386,72.0,72.0,RFC,0.0,229847.0,4.038,2.88,6.918,0.0018425735797399044,0.0013141683778234085,0.0031567419575633127,100.0
2019.0,East Central Oklahoma Elec Coop Inc,OK,539972.0,34419.0,5598.0,Cooperative,297.6,2.01,148.0597,78.0,0.0,SPP,0.0,577134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Eastern Iowa Light & Power Coop,IA,594024.0,23780.0,5605.0,Cooperative,151.13,1.61,93.869565,177.0,23.0,MRO,0.0,643561.0,0.0,0.0,0.0,0.0,0.0,0.0,12.994350282485875
2019.0,Eastern Maine Electric Coop,ME,93507.0,12631.0,5609.0,Cooperative,212.91,5.44,39.137868,20.0,0.0,NPCC,0.0,93507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,"Edisto Electric Coop, Inc",SC,376856.0,20308.0,5644.0,Cooperative,61.41,.,.,68.0,0.0,SERC,0.0,396318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
