name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,ba,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,wind_pct
"Vermont Electric Cooperative, Inc",VT,450937.0,39569.0,19791.0,Cooperative,170.42,1.49,114.37584,73.0,0.0,NPCC,0.0,538009.0,ISNE,0.0,0.0,0.0,,,,
City of Vernon,CA,1069224.0,1918.0,19798.0,Municipal,.,.,.,58.0,0.0,WECC,3616.0,1119056.0,CISO,0.0,0.0,0.0,8219.67,1.0,0.0,
Village of Versailles - (OH),OH,71858.0,1900.0,19805.0,Municipal,26.28,1.22,21.540984,8.0,4.0,RFC,0.0,75682.0,,,,,,,,
"Victoria Electric Coop, Inc",TX,579982.0,23154.0,19806.0,Cooperative,156.31,1.32,118.41667,59.0,0.0,TRE,0.0,612966.0,ERCO,150.903,4.365,155.268,1.309,,,
Vernon Electric Coop,WI,152189.0,11237.0,19813.0,Cooperative,125,.,.,55.0,0.0,RFC,0.0,159524.0,MISO,78.497,0.279,78.776,315.0,3778.0,0.0,
Victory Electric Coop Assn Inc,KS,707993.0,19749.0,19820.0,Cooperative,531.9,.,.,98.0,2.0,SPP,0.0,731041.0,SWPP,0.0,0.0,0.0,,98.0,10.0,
"Valley Electric Assn, Inc",NV,544892.0,23021.0,19840.0,Cooperative,58.089,0.858,67.702797,29.0,29.0,WECC,0.0,583215.0,NEVP,5477.002,26.256,5542.514,,,,
Virginia Electric & Power Co,NC,4280695.0,121776.0,19876.0,Investor Owned,.,.,.,121.0,0.0,,,,PJM,0.0,0.0,0.0,4101.25,3060.0,0.0,
Virginia Electric & Power Co,VA,80663402.0,2505988.0,19876.0,Investor Owned,.,.,.,1773.0,0.0,SERC,75224120.0,15213118.0,PJM,0.0,0.0,0.0,137092.569,75407.0,0.0,
Virginia Tech Electric Service,VA,340081.0,6624.0,19882.0,State,.,.,.,33.0,0.0,RFC,0.0,348346.0,PJM,0.0,0.0,0.0,,,,
City of Wadena - (MN),MN,67478.0,2452.0,19947.0,Municipal,.,.,.,12.0,0.0,MRO,0.0,70561.0,MISO,0.0,0.0,0.0,348.8,615.0,378.6,
City of Wadsworth - (OH),OH,285826.0,13750.0,19951.0,Municipal,.,.,.,17.0,17.0,RFC,0.0,294521.0,PJM,0.0,0.0,0.0,,382.0,2.0,
